month_num,商品ID,店舗ID,売上個数,year_ago,商品カテゴリID,year,month,商品価格
12,1000001,0,2.0,6.0,100,2019,1,420
12,1000001,1,0.0,2.0,100,2019,1,420
12,1000001,2,0.0,1.0,100,2019,1,420
12,1000001,3,5.0,2.0,100,2019,1,420
12,1000001,4,4.0,0.0,100,2019,1,420
12,1000001,5,2.0,2.0,100,2019,1,420
12,1000001,6,0.0,6.0,100,2019,1,420
12,1000001,7,0.0,5.0,100,2019,1,420
12,1000001,8,2.0,1.0,100,2019,1,420
12,1000001,9,0.0,5.0,100,2019,1,420
12,1000001,10,2.0,12.0,100,2019,1,420
12,1000001,11,1.0,0.0,100,2019,1,420
12,1000001,12,0.0,1.0,100,2019,1,420
12,1000001,13,3.0,4.0,100,2019,1,420
12,1000001,14,1.0,0.0,100,2019,1,420
12,1000001,15,0.0,2.0,100,2019,1,420
12,1000001,16,0.0,2.0,100,2019,1,420
12,1000001,17,1.0,0.0,100,2019,1,420
12,1000002,0,0.0,2.0,100,2019,1,250
12,1000002,1,0.0,3.0,100,2019,1,250
12,1000002,2,2.0,1.0,100,2019,1,250
12,1000002,3,0.0,0.0,100,2019,1,250
12,1000002,4,1.0,0.0,100,2019,1,250
12,1000002,5,0.0,0.0,100,2019,1,250
12,1000002,6,0.0,2.0,100,2019,1,250
12,1000002,7,1.0,2.0,100,2019,1,250
12,1000002,8,1.0,3.0,100,2019,1,250
12,1000002,9,0.0,1.0,100,2019,1,250
12,1000002,10,1.0,1.0,100,2019,1,250
12,1000002,11,0.0,2.0,100,2019,1,250
12,1000002,12,1.0,0.0,100,2019,1,250
12,1000002,13,1.0,1.0,100,2019,1,250
12,1000002,14,0.0,4.0,100,2019,1,250
12,1000002,15,3.0,4.0,100,2019,1,250
12,1000002,16,0.0,2.0,100,2019,1,250
12,1000002,17,0.0,0.0,100,2019,1,250
12,1000003,0,0.0,0.0,100,2019,1,250
12,1000003,1,0.0,0.0,100,2019,1,250
12,1000003,2,0.0,1.0,100,2019,1,250
12,1000003,3,0.0,0.0,100,2019,1,250
12,1000003,4,2.0,0.0,100,2019,1,250
12,1000003,5,2.0,0.0,100,2019,1,250
12,1000003,6,0.0,0.0,100,2019,1,250
12,1000003,7,2.0,2.0,100,2019,1,250
12,1000003,8,2.0,0.0,100,2019,1,250
12,1000003,9,0.0,0.0,100,2019,1,250
12,1000003,10,1.0,1.0,100,2019,1,250
12,1000003,11,0.0,1.0,100,2019,1,250
12,1000003,12,0.0,1.0,100,2019,1,250
12,1000003,13,1.0,0.0,100,2019,1,250
12,1000003,14,0.0,0.0,100,2019,1,250
12,1000003,15,0.0,0.0,100,2019,1,250
12,1000003,16,1.0,0.0,100,2019,1,250
12,1000003,17,0.0,0.0,100,2019,1,250
12,1000004,0,0.0,1.0,100,2019,1,250
12,1000004,1,0.0,2.0,100,2019,1,250
12,1000004,2,0.0,0.0,100,2019,1,250
12,1000004,3,0.0,0.0,100,2019,1,250
12,1000004,4,0.0,1.0,100,2019,1,250
12,1000004,5,0.0,0.0,100,2019,1,250
12,1000004,6,2.0,1.0,100,2019,1,250
12,1000004,7,1.0,1.0,100,2019,1,250
12,1000004,8,1.0,0.0,100,2019,1,250
12,1000004,9,0.0,1.0,100,2019,1,250
12,1000004,10,0.0,1.0,100,2019,1,250
12,1000004,11,1.0,1.0,100,2019,1,250
12,1000004,12,0.0,0.0,100,2019,1,250
12,1000004,13,1.0,2.0,100,2019,1,250
12,1000004,14,1.0,0.0,100,2019,1,250
12,1000004,15,1.0,0.0,100,2019,1,250
12,1000004,16,0.0,0.0,100,2019,1,250
12,1000004,17,0.0,1.0,100,2019,1,250
12,1000005,0,1.0,8.0,100,2019,1,250
12,1000005,1,0.0,0.0,100,2019,1,250
12,1000005,2,1.0,1.0,100,2019,1,250
12,1000005,3,1.0,0.0,100,2019,1,250
12,1000005,4,1.0,0.0,100,2019,1,250
12,1000005,5,2.0,0.0,100,2019,1,250
12,1000005,6,1.0,1.0,100,2019,1,250
12,1000005,7,2.0,2.0,100,2019,1,250
12,1000005,8,1.0,1.0,100,2019,1,250
12,1000005,9,0.0,1.0,100,2019,1,250
12,1000005,10,1.0,1.0,100,2019,1,250
12,1000005,11,1.0,1.0,100,2019,1,250
12,1000005,12,1.0,0.0,100,2019,1,250
12,1000005,13,1.0,2.0,100,2019,1,250
12,1000005,14,1.0,2.0,100,2019,1,250
12,1000005,15,0.0,1.0,100,2019,1,250
12,1000005,16,0.0,1.0,100,2019,1,250
12,1000005,17,1.0,0.0,100,2019,1,250
12,1000006,0,1.0,2.0,100,2019,1,250
12,1000006,1,0.0,0.0,100,2019,1,250
12,1000006,2,1.0,0.0,100,2019,1,250
12,1000006,3,2.0,1.0,100,2019,1,250
12,1000006,4,0.0,0.0,100,2019,1,250
12,1000006,5,1.0,0.0,100,2019,1,250
12,1000006,6,0.0,1.0,100,2019,1,250
12,1000006,7,2.0,2.0,100,2019,1,250
12,1000006,8,0.0,0.0,100,2019,1,250
12,1000006,9,0.0,2.0,100,2019,1,250
12,1000006,10,1.0,1.0,100,2019,1,250
12,1000006,11,0.0,0.0,100,2019,1,250
12,1000006,12,0.0,0.0,100,2019,1,250
12,1000006,13,1.0,3.0,100,2019,1,250
12,1000006,14,1.0,2.0,100,2019,1,250
12,1000006,15,0.0,0.0,100,2019,1,250
12,1000006,16,0.0,1.0,100,2019,1,250
12,1000006,17,1.0,0.0,100,2019,1,250
12,1000007,0,0.0,1.0,100,2019,1,250
12,1000007,1,0.0,3.0,100,2019,1,250
12,1000007,2,1.0,0.0,100,2019,1,250
12,1000007,3,1.0,1.0,100,2019,1,250
12,1000007,4,1.0,1.0,100,2019,1,250
12,1000007,5,0.0,1.0,100,2019,1,250
12,1000007,6,0.0,0.0,100,2019,1,250
12,1000007,7,1.0,0.0,100,2019,1,250
12,1000007,8,1.0,1.0,100,2019,1,250
12,1000007,9,0.0,1.0,100,2019,1,250
12,1000007,10,0.0,1.0,100,2019,1,250
12,1000007,11,0.0,0.0,100,2019,1,250
12,1000007,12,1.0,0.0,100,2019,1,250
12,1000007,13,0.0,3.0,100,2019,1,250
12,1000007,14,0.0,0.0,100,2019,1,250
12,1000007,15,0.0,1.0,100,2019,1,250
12,1000007,16,2.0,1.0,100,2019,1,250
12,1000007,17,0.0,2.0,100,2019,1,250
12,1000008,0,1.0,4.0,100,2019,1,250
12,1000008,1,1.0,3.0,100,2019,1,250
12,1000008,2,1.0,1.0,100,2019,1,250
12,1000008,3,1.0,1.0,100,2019,1,250
12,1000008,4,0.0,0.0,100,2019,1,250
12,1000008,5,1.0,0.0,100,2019,1,250
12,1000008,6,0.0,1.0,100,2019,1,250
12,1000008,7,2.0,0.0,100,2019,1,250
12,1000008,8,1.0,2.0,100,2019,1,250
12,1000008,9,0.0,2.0,100,2019,1,250
12,1000008,10,1.0,4.0,100,2019,1,250
12,1000008,11,0.0,1.0,100,2019,1,250
12,1000008,12,0.0,0.0,100,2019,1,250
12,1000008,13,1.0,1.0,100,2019,1,250
12,1000008,14,1.0,2.0,100,2019,1,250
12,1000008,15,0.0,0.0,100,2019,1,250
12,1000008,16,0.0,1.0,100,2019,1,250
12,1000008,17,0.0,0.0,100,2019,1,250
12,1000009,0,0.0,1.0,100,2019,1,250
12,1000009,1,0.0,0.0,100,2019,1,250
12,1000009,2,1.0,0.0,100,2019,1,250
12,1000009,3,1.0,0.0,100,2019,1,250
12,1000009,4,0.0,0.0,100,2019,1,250
12,1000009,5,1.0,0.0,100,2019,1,250
12,1000009,6,0.0,0.0,100,2019,1,250
12,1000009,7,2.0,1.0,100,2019,1,250
12,1000009,8,1.0,0.0,100,2019,1,250
12,1000009,9,0.0,0.0,100,2019,1,250
12,1000009,10,1.0,0.0,100,2019,1,250
12,1000009,11,0.0,0.0,100,2019,1,250
12,1000009,12,0.0,0.0,100,2019,1,250
12,1000009,13,0.0,0.0,100,2019,1,250
12,1000009,14,0.0,0.0,100,2019,1,250
12,1000009,15,1.0,0.0,100,2019,1,250
12,1000009,16,0.0,0.0,100,2019,1,250
12,1000009,17,0.0,0.0,100,2019,1,250
12,1000010,0,3.0,0.0,100,2019,1,510
12,1000010,1,1.0,0.0,100,2019,1,510
12,1000010,2,0.0,0.0,100,2019,1,510
12,1000010,3,1.0,0.0,100,2019,1,510
12,1000010,4,6.0,0.0,100,2019,1,510
12,1000010,5,0.0,0.0,100,2019,1,510
12,1000010,6,1.0,0.0,100,2019,1,510
12,1000010,7,1.0,0.0,100,2019,1,510
12,1000010,8,1.0,0.0,100,2019,1,510
12,1000010,9,0.0,0.0,100,2019,1,510
12,1000010,10,3.0,0.0,100,2019,1,510
12,1000010,11,0.0,0.0,100,2019,1,510
12,1000010,12,2.0,0.0,100,2019,1,510
12,1000010,13,1.0,0.0,100,2019,1,510
12,1000010,14,1.0,0.0,100,2019,1,510
12,1000010,15,0.0,0.0,100,2019,1,510
12,1000010,16,1.0,0.0,100,2019,1,510
12,1000010,17,1.0,0.0,100,2019,1,510
12,1000011,0,2.0,0.0,100,2019,1,250
12,1000011,1,1.0,0.0,100,2019,1,250
12,1000011,2,0.0,0.0,100,2019,1,250
12,1000011,3,2.0,0.0,100,2019,1,250
12,1000011,4,1.0,0.0,100,2019,1,250
12,1000011,5,1.0,0.0,100,2019,1,250
12,1000011,6,3.0,0.0,100,2019,1,250
12,1000011,7,3.0,0.0,100,2019,1,250
12,1000011,8,1.0,0.0,100,2019,1,250
12,1000011,9,0.0,0.0,100,2019,1,250
12,1000011,10,1.0,0.0,100,2019,1,250
12,1000011,11,0.0,0.0,100,2019,1,250
12,1000011,12,0.0,0.0,100,2019,1,250
12,1000011,13,1.0,0.0,100,2019,1,250
12,1000011,14,1.0,0.0,100,2019,1,250
12,1000011,15,1.0,0.0,100,2019,1,250
12,1000011,16,0.0,0.0,100,2019,1,250
12,1000011,17,0.0,0.0,100,2019,1,250
12,1100001,0,1.0,0.0,110,2019,1,590
12,1100001,1,1.0,2.0,110,2019,1,590
12,1100001,2,1.0,1.0,110,2019,1,590
12,1100001,3,0.0,0.0,110,2019,1,590
12,1100001,4,0.0,0.0,110,2019,1,590
12,1100001,5,1.0,0.0,110,2019,1,590
12,1100001,6,1.0,1.0,110,2019,1,590
12,1100001,7,0.0,3.0,110,2019,1,590
12,1100001,8,0.0,1.0,110,2019,1,590
12,1100001,9,0.0,1.0,110,2019,1,590
12,1100001,10,0.0,0.0,110,2019,1,590
12,1100001,11,1.0,0.0,110,2019,1,590
12,1100001,12,0.0,0.0,110,2019,1,590
12,1100001,13,2.0,0.0,110,2019,1,590
12,1100001,14,0.0,3.0,110,2019,1,590
12,1100001,15,2.0,0.0,110,2019,1,590
12,1100001,16,2.0,0.0,110,2019,1,590
12,1100001,17,0.0,1.0,110,2019,1,590
12,1100002,0,7.0,0.0,110,2019,1,170
12,1100002,1,12.0,0.0,110,2019,1,170
12,1100002,2,10.0,0.0,110,2019,1,170
12,1100002,3,3.0,0.0,110,2019,1,170
12,1100002,4,5.0,0.0,110,2019,1,170
12,1100002,5,12.0,0.0,110,2019,1,170
12,1100002,6,2.0,0.0,110,2019,1,170
12,1100002,7,6.0,0.0,110,2019,1,170
12,1100002,8,5.0,0.0,110,2019,1,170
12,1100002,9,3.0,0.0,110,2019,1,170
12,1100002,10,10.0,0.0,110,2019,1,170
12,1100002,11,6.0,0.0,110,2019,1,170
12,1100002,12,1.0,0.0,110,2019,1,170
12,1100002,13,15.0,0.0,110,2019,1,170
12,1100002,14,5.0,0.0,110,2019,1,170
12,1100002,15,11.0,0.0,110,2019,1,170
12,1100002,16,6.0,0.0,110,2019,1,170
12,1100002,17,7.0,0.0,110,2019,1,170
12,1200001,0,3.0,1.0,120,2019,1,510
12,1200001,1,0.0,1.0,120,2019,1,510
12,1200001,2,0.0,0.0,120,2019,1,510
12,1200001,3,1.0,2.0,120,2019,1,510
12,1200001,4,0.0,0.0,120,2019,1,510
12,1200001,5,1.0,0.0,120,2019,1,510
12,1200001,6,0.0,0.0,120,2019,1,510
12,1200001,7,1.0,3.0,120,2019,1,510
12,1200001,8,0.0,1.0,120,2019,1,510
12,1200001,9,0.0,0.0,120,2019,1,510
12,1200001,10,1.0,1.0,120,2019,1,510
12,1200001,11,0.0,0.0,120,2019,1,510
12,1200001,12,0.0,0.0,120,2019,1,510
12,1200001,13,0.0,2.0,120,2019,1,510
12,1200001,14,2.0,0.0,120,2019,1,510
12,1200001,15,1.0,1.0,120,2019,1,510
12,1200001,16,0.0,0.0,120,2019,1,510
12,1200001,17,1.0,2.0,120,2019,1,510
12,1200002,0,1.0,1.0,120,2019,1,510
12,1200002,1,1.0,1.0,120,2019,1,510
12,1200002,2,1.0,0.0,120,2019,1,510
12,1200002,3,3.0,0.0,120,2019,1,510
12,1200002,4,2.0,1.0,120,2019,1,510
12,1200002,5,2.0,2.0,120,2019,1,510
12,1200002,6,2.0,0.0,120,2019,1,510
12,1200002,7,2.0,4.0,120,2019,1,510
12,1200002,8,5.0,1.0,120,2019,1,510
12,1200002,9,2.0,4.0,120,2019,1,510
12,1200002,10,8.0,6.0,120,2019,1,510
12,1200002,11,1.0,0.0,120,2019,1,510
12,1200002,12,2.0,2.0,120,2019,1,510
12,1200002,13,2.0,5.0,120,2019,1,510
12,1200002,14,1.0,4.0,120,2019,1,510
12,1200002,15,2.0,3.0,120,2019,1,510
12,1200002,16,0.0,1.0,120,2019,1,510
12,1200002,17,2.0,1.0,120,2019,1,510
12,1200003,0,5.0,2.0,120,2019,1,510
12,1200003,1,0.0,1.0,120,2019,1,510
12,1200003,2,0.0,1.0,120,2019,1,510
12,1200003,3,1.0,0.0,120,2019,1,510
12,1200003,4,2.0,0.0,120,2019,1,510
12,1200003,5,0.0,0.0,120,2019,1,510
12,1200003,6,2.0,2.0,120,2019,1,510
12,1200003,7,1.0,1.0,120,2019,1,510
12,1200003,8,1.0,2.0,120,2019,1,510
12,1200003,9,2.0,2.0,120,2019,1,510
12,1200003,10,3.0,0.0,120,2019,1,510
12,1200003,11,0.0,0.0,120,2019,1,510
12,1200003,12,1.0,0.0,120,2019,1,510
12,1200003,13,4.0,5.0,120,2019,1,510
12,1200003,14,1.0,3.0,120,2019,1,510
12,1200003,15,0.0,0.0,120,2019,1,510
12,1200003,16,1.0,0.0,120,2019,1,510
12,1200003,17,1.0,0.0,120,2019,1,510
12,1200004,0,0.0,4.0,120,2019,1,510
12,1200004,1,0.0,1.0,120,2019,1,510
12,1200004,2,1.0,1.0,120,2019,1,510
12,1200004,3,0.0,0.0,120,2019,1,510
12,1200004,4,1.0,0.0,120,2019,1,510
12,1200004,5,1.0,0.0,120,2019,1,510
12,1200004,6,1.0,1.0,120,2019,1,510
12,1200004,7,3.0,0.0,120,2019,1,510
12,1200004,8,1.0,1.0,120,2019,1,510
12,1200004,9,2.0,0.0,120,2019,1,510
12,1200004,10,2.0,4.0,120,2019,1,510
12,1200004,11,1.0,1.0,120,2019,1,510
12,1200004,12,1.0,0.0,120,2019,1,510
12,1200004,13,2.0,6.0,120,2019,1,510
12,1200004,14,0.0,1.0,120,2019,1,510
12,1200004,15,0.0,1.0,120,2019,1,510
12,1200004,16,0.0,0.0,120,2019,1,510
12,1200004,17,0.0,0.0,120,2019,1,510
12,1200005,0,1.0,0.0,120,2019,1,250
12,1200005,1,3.0,0.0,120,2019,1,250
12,1200005,2,0.0,0.0,120,2019,1,250
12,1200005,3,0.0,0.0,120,2019,1,250
12,1200005,4,2.0,0.0,120,2019,1,250
12,1200005,5,0.0,0.0,120,2019,1,250
12,1200005,6,2.0,1.0,120,2019,1,250
12,1200005,7,0.0,0.0,120,2019,1,250
12,1200005,8,1.0,0.0,120,2019,1,250
12,1200005,9,1.0,0.0,120,2019,1,250
12,1200005,10,1.0,0.0,120,2019,1,250
12,1200005,11,1.0,1.0,120,2019,1,250
12,1200005,12,0.0,0.0,120,2019,1,250
12,1200005,13,1.0,0.0,120,2019,1,250
12,1200005,14,0.0,0.0,120,2019,1,250
12,1200005,15,0.0,1.0,120,2019,1,250
12,1200005,16,1.0,0.0,120,2019,1,250
12,1200005,17,1.0,0.0,120,2019,1,250
12,1200006,0,0.0,0.0,120,2019,1,340
12,1200006,1,0.0,1.0,120,2019,1,340
12,1200006,2,1.0,0.0,120,2019,1,340
12,1200006,3,0.0,0.0,120,2019,1,340
12,1200006,4,0.0,0.0,120,2019,1,340
12,1200006,5,1.0,0.0,120,2019,1,340
12,1200006,6,0.0,1.0,120,2019,1,340
12,1200006,7,0.0,0.0,120,2019,1,340
12,1200006,8,0.0,1.0,120,2019,1,340
12,1200006,9,0.0,2.0,120,2019,1,340
12,1200006,10,1.0,2.0,120,2019,1,340
12,1200006,11,1.0,1.0,120,2019,1,340
12,1200006,12,0.0,1.0,120,2019,1,340
12,1200006,13,0.0,1.0,120,2019,1,340
12,1200006,14,0.0,1.0,120,2019,1,340
12,1200006,15,0.0,1.0,120,2019,1,340
12,1200006,16,0.0,1.0,120,2019,1,340
12,1200006,17,0.0,0.0,120,2019,1,340
12,1200007,0,1.0,5.0,120,2019,1,250
12,1200007,1,2.0,1.0,120,2019,1,250
12,1200007,2,2.0,1.0,120,2019,1,250
12,1200007,3,4.0,0.0,120,2019,1,250
12,1200007,4,1.0,1.0,120,2019,1,250
12,1200007,5,0.0,0.0,120,2019,1,250
12,1200007,6,3.0,4.0,120,2019,1,250
12,1200007,7,2.0,3.0,120,2019,1,250
12,1200007,8,1.0,2.0,120,2019,1,250
12,1200007,9,1.0,0.0,120,2019,1,250
12,1200007,10,0.0,4.0,120,2019,1,250
12,1200007,11,0.0,1.0,120,2019,1,250
12,1200007,12,2.0,3.0,120,2019,1,250
12,1200007,13,3.0,9.0,120,2019,1,250
12,1200007,14,0.0,4.0,120,2019,1,250
12,1200007,15,1.0,2.0,120,2019,1,250
12,1200007,16,1.0,0.0,120,2019,1,250
12,1200007,17,2.0,5.0,120,2019,1,250
12,1200008,0,1.0,2.0,120,2019,1,250
12,1200008,1,1.0,2.0,120,2019,1,250
12,1200008,2,3.0,0.0,120,2019,1,250
12,1200008,3,1.0,0.0,120,2019,1,250
12,1200008,4,1.0,0.0,120,2019,1,250
12,1200008,5,1.0,1.0,120,2019,1,250
12,1200008,6,2.0,4.0,120,2019,1,250
12,1200008,7,3.0,3.0,120,2019,1,250
12,1200008,8,0.0,2.0,120,2019,1,250
12,1200008,9,1.0,1.0,120,2019,1,250
12,1200008,10,3.0,4.0,120,2019,1,250
12,1200008,11,1.0,0.0,120,2019,1,250
12,1200008,12,1.0,1.0,120,2019,1,250
12,1200008,13,2.0,6.0,120,2019,1,250
12,1200008,14,0.0,3.0,120,2019,1,250
12,1200008,15,1.0,1.0,120,2019,1,250
12,1200008,16,1.0,1.0,120,2019,1,250
12,1200008,17,3.0,5.0,120,2019,1,250
12,1200009,0,0.0,1.0,120,2019,1,130
12,1200009,1,3.0,2.0,120,2019,1,130
12,1200009,2,0.0,1.0,120,2019,1,130
12,1200009,3,2.0,2.0,120,2019,1,130
12,1200009,4,0.0,0.0,120,2019,1,130
12,1200009,5,0.0,1.0,120,2019,1,130
12,1200009,6,1.0,3.0,120,2019,1,130
12,1200009,7,4.0,2.0,120,2019,1,130
12,1200009,8,0.0,3.0,120,2019,1,130
12,1200009,9,0.0,1.0,120,2019,1,130
12,1200009,10,2.0,1.0,120,2019,1,130
12,1200009,11,1.0,0.0,120,2019,1,130
12,1200009,12,1.0,1.0,120,2019,1,130
12,1200009,13,7.0,4.0,120,2019,1,130
12,1200009,14,1.0,3.0,120,2019,1,130
12,1200009,15,1.0,4.0,120,2019,1,130
12,1200009,16,1.0,0.0,120,2019,1,130
12,1200009,17,1.0,4.0,120,2019,1,130
12,1200010,0,0.0,2.0,120,2019,1,250
12,1200010,1,0.0,0.0,120,2019,1,250
12,1200010,2,0.0,0.0,120,2019,1,250
12,1200010,3,0.0,0.0,120,2019,1,250
12,1200010,4,0.0,0.0,120,2019,1,250
12,1200010,5,0.0,0.0,120,2019,1,250
12,1200010,6,2.0,0.0,120,2019,1,250
12,1200010,7,1.0,3.0,120,2019,1,250
12,1200010,8,4.0,0.0,120,2019,1,250
12,1200010,9,0.0,0.0,120,2019,1,250
12,1200010,10,0.0,0.0,120,2019,1,250
12,1200010,11,0.0,1.0,120,2019,1,250
12,1200010,12,0.0,0.0,120,2019,1,250
12,1200010,13,3.0,2.0,120,2019,1,250
12,1200010,14,1.0,0.0,120,2019,1,250
12,1200010,15,1.0,0.0,120,2019,1,250
12,1200010,16,0.0,0.0,120,2019,1,250
12,1200010,17,0.0,2.0,120,2019,1,250
12,1200011,0,0.0,0.0,120,2019,1,510
12,1200011,1,2.0,0.0,120,2019,1,510
12,1200011,2,2.0,0.0,120,2019,1,510
12,1200011,3,0.0,0.0,120,2019,1,510
12,1200011,4,0.0,0.0,120,2019,1,510
12,1200011,5,1.0,0.0,120,2019,1,510
12,1200011,6,3.0,0.0,120,2019,1,510
12,1200011,7,1.0,2.0,120,2019,1,510
12,1200011,8,0.0,1.0,120,2019,1,510
12,1200011,9,5.0,0.0,120,2019,1,510
12,1200011,10,2.0,0.0,120,2019,1,510
12,1200011,11,0.0,0.0,120,2019,1,510
12,1200011,12,1.0,0.0,120,2019,1,510
12,1200011,13,2.0,2.0,120,2019,1,510
12,1200011,14,0.0,0.0,120,2019,1,510
12,1200011,15,0.0,0.0,120,2019,1,510
12,1200011,16,1.0,1.0,120,2019,1,510
12,1200011,17,2.0,0.0,120,2019,1,510
12,1200012,0,0.0,1.0,120,2019,1,510
12,1200012,1,1.0,0.0,120,2019,1,510
12,1200012,2,3.0,1.0,120,2019,1,510
12,1200012,3,0.0,0.0,120,2019,1,510
12,1200012,4,0.0,0.0,120,2019,1,510
12,1200012,5,1.0,1.0,120,2019,1,510
12,1200012,6,3.0,0.0,120,2019,1,510
12,1200012,7,1.0,1.0,120,2019,1,510
12,1200012,8,0.0,1.0,120,2019,1,510
12,1200012,9,3.0,1.0,120,2019,1,510
12,1200012,10,1.0,3.0,120,2019,1,510
12,1200012,11,0.0,0.0,120,2019,1,510
12,1200012,12,1.0,1.0,120,2019,1,510
